,City ID,City Name,Longitude,Latitude,Cloudiness,Temp,Humidity,Wind Speed,Country,Date,Max Temp
545,214614,Kamina,24.9906,-8.7386,68,66.85,35,5.32,CD,1659477099,66.85
546,2108857,Gizo Government Station,156.8419,-8.103,18,82.67,74,8.68,SB,1659477099,82.67
547,1295765,Sittwe,92.9,20.15,100,81.46,83,5.7,MM,1659477061,81.46
548,3404558,Cabedelo,-34.8339,-6.9811,6,75.87,85,7.11,BR,1659477099,75.87
549,2057087,Kupang,123.5833,-10.1667,9,71.26,83,6.17,ID,1659477100,71.26
550,491422,Sochi,39.7303,43.6,11,73.49,85,2.91,RU,1659477100,73.49
551,3696183,Iquitos,-73.2472,-3.7481,40,84.24,74,3.44,PE,1659476802,84.24
552,3163146,Andenes,16.1194,69.3143,75,49.98,87,5.75,NO,1659477100,49.98
553,2355404,Solenzo,-4.0833,12.1833,100,78.37,75,5.79,BF,1659477101,78.37
554,1073482,Anjozorobe,47.8667,-18.4,85,52.52,85,7.83,MG,1659477101,52.52
